Date,AAPL,ADBE,AMD,AMZN,BA,CRM,CSCO,CVX,DIS,GOOGL,IBM,INTC,JPM,KO,META,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PFE,PG,QCOM,T,TMO,TSLA,V,WMT,XOM
2023-01-19,133.8623046875,342.5299987792969,67.70999908447266,93.68000030517578,207.08999633789062,145.76290893554688,44.0059814453125,165.11929321289062,98.30461120605469,92.8201675415039,129.29261779785156,27.404773712158203,128.74185180664062,56.1777458190918,135.7412872314453,104.90115356445312,228.18521118164062,315.7799987792969,16.75281524658203,83.94483947753906,159.77964782714844,40.53104019165039,136.3705596923828,112.30122375488281,16.954164505004883,581.1532592773438,127.16999816894531,217.0147247314453,45.1413459777832,104.09398651123047
2023-01-20,136.43524169921875,356.3800048828125,70.06999969482422,97.25,206.75999450683594,150.58152770996094,44.309078216552734,166.8719482421875,102.67017364501953,97.77788543701172,129.82589721679688,28.176197052001953,129.05712890625,56.516387939453125,138.9516143798828,104.93934631347656,236.3413543701172,342.5,17.826034545898438,85.22442626953125,160.01512145996094,40.666263580322266,136.89718627929688,117.38237762451172,17.213756561279297,590.907958984375,133.4199981689453,220.8546142578125,45.697357177734375,105.9922103881836
2023-01-23,139.6415557861328,364.9800109863281,76.52999877929688,97.5199966430664,209.97000122070312,155.18109130859375,44.991050720214844,166.6505584716797,104.86288452148438,99.54351806640625,130.43270874023438,29.188690185546875,131.14947509765625,56.65748596191406,142.83993530273438,104.88206481933594,238.6632537841797,357.4200134277344,19.17905044555664,86.90448760986328,159.2992706298828,40.54906463623047,135.05873107910156,125.14739990234375,17.097387313842773,602.0162353515625,143.75,220.72662353515625,46.380184173583984,105.44052124023438
2023-01-24,141.04676818847656,361.32000732421875,74.69999694824219,96.31999969482422,211.97999572753906,154.17556762695312,45.2846794128418,166.807373046875,105.17045593261719,97.45867156982422,130.09251403808594,28.85118865966797,132.27687072753906,56.9585075378418,142.71031188964844,103.58392333984375,238.13197326660156,363.8299865722656,19.250995635986328,87.61754608154297,160.77809143066406,40.305660247802734,135.79603576660156,124.83219146728516,17.151098251342773,578.02783203125,143.88999938964844,220.4410858154297,46.50373840332031,106.42236328125
2023-01-25,140.3837432861328,358.1700134277344,74.91000366210938,97.18000030517578,212.67999267578125,155.47976684570312,45.44569778442383,165.19308471679688,107.27387237548828,94.98480224609375,129.42132568359375,28.63905143737793,132.9169921875,57.315975189208984,141.0752410888672,103.6507339477539,236.72509765625,367.9599914550781,19.3089542388916,87.55892944335938,161.94607543945312,40.63020324707031,135.7002716064453,125.2811050415039,18.278989791870117,572.6529541015625,144.42999267578125,221.43551635742188,46.28263854980469,105.8613052368164
2023-01-26,142.46189880371094,365.82000732421875,75.16000366210938,99.22000122070312,212.72999572753906,164.3603515625,45.786678314208984,173.22764587402344,108.84149932861328,97.27912139892578,123.61961364746094,29.015117645263672,133.73863220214844,57.20309066772461,146.8578338623047,102.00897979736328,243.99575805664062,364.8699951171875,19.787607192993164,87.74452209472656,160.3354034423828,40.2572021484375,135.15447998046875,127.94585418701172,17.903026580810547,574.6934814453125,160.27000427246094,221.2484588623047,46.24036407470703,110.11595916748047
2023-01-27,144.411376953125,370.7099914550781,75.4000015258789,102.23999786376953,211.1699981689453,163.79286193847656,45.947696685791016,165.53439331054688,108.68275451660156,99.12455749511719,123.56446838378906,27.1540584564209,134.06350708007812,56.90206527709961,151.2845001220703,100.58675384521484,244.15316772460938,360.7699890136719,20.350196838378906,86.92402648925781,159.77024841308594,39.838706970214844,134.59913635253906,127.4109878540039,17.85826873779297,570.9708862304688,177.89999389648438,227.87481689453125,46.594783782958984,108.10551452636719
2023-01-30,141.51187133789062,363.4200134277344,72.44999694824219,100.55000305175781,209.6699981689453,164.0218505859375,45.67301559448242,160.69151306152344,106.74800872802734,96.70055389404297,124.40116119384766,26.95156478881836,132.92657470703125,57.04316711425781,146.61856079101562,101.26444244384766,238.79116821289062,353.1099853515625,19.148073196411133,85.32210540771484,159.63836669921875,39.620365142822266,135.0204315185547,125.72044372558594,18.046249389648438,561.674072265625,166.66000366210938,225.5708465576172,46.220855712890625,106.18858337402344
2023-01-31,142.78843688964844,370.3399963378906,75.1500015258789,103.12999725341797,213.0,167.2276153564453,46.099246978759766,160.52548217773438,107.6409683227539,98.59586334228516,123.87705993652344,27.25048828125,133.7195587158203,57.682838439941406,148.52281188964844,102.52442169189453,243.80882263183594,353.8599853515625,19.52280044555664,86.40632629394531,161.08895874023438,40.17531967163086,136.33224487304688,127.22950744628906,18.23423194885254,567.6860961914062,173.22000122070312,226.6637420654297,46.78012466430664,108.47955322265625
2023-02-01,143.9165496826172,383.9200134277344,84.63999938964844,105.1500015258789,214.75,171.06060791015625,46.00453186035156,158.07174682617188,108.53392791748047,100.18193817138672,124.20806884765625,28.03155517578125,133.3660430908203,57.69224548339844,152.6603546142578,102.11396789550781,248.66903686523438,361.989990234375,20.927780151367188,87.95942687988281,161.5975799560547,40.00246047973633,137.1078338623047,132.2438201904297,18.064151763916016,584.6371459960938,181.41000366210938,227.34312438964844,47.04024887084961,107.29197692871094
